时间,牧草量,饲料量,出栏畜禽,蛋类,奶类,粪便堆存量,粪便排放量,粪便还田量
1678,54.52967432,4.933060299,2.770356671,1.193132428,0,3.33972341,7.264367233,62.03958169
1679,54.38770986,4.920590549,2.761422485,1.19272309,0,3.334374863,7.244328839,61.86458468
1680,54.2446268,4.907966094,2.752459103,1.19231248,0,3.329008836,7.224224958,61.68901578
1681,54.10266234,4.895496476,2.743524917,1.191903274,0,3.323660289,7.204186563,61.51401877
1682,55.3476048,5.054411311,2.785743324,1.193837556,0,3.348934797,7.298877804,62.34096544
1683,56.64473101,5.19081621,2.850997915,1.196830176,0,3.38800017,7.445236674,63.61912989
1684,57.68005621,5.281827096,2.916106523,1.199819624,0,3.426978148,7.591268118,64.89443492
1685,57.28069007,5.195609246,2.928252344,1.200377686,0,3.434249376,7.618509859,65.13233936
1686,57.15107735,5.172714252,2.928485918,1.20038842,0,3.434389207,7.619033738,65.13691444
1687,57.16429899,5.174216083,2.929069851,1.200415253,0,3.434738785,7.620343438,65.14835215
1688,57.18547606,5.17650278,2.930091736,1.200462211,0,3.435350547,7.62263541,65.16836815
1689,57.20175121,5.177935709,2.93111362,1.200509171,0,3.435962309,7.624927384,65.18838415
1690,57.19348055,5.176335015,2.931230406,1.200514538,0,3.436032225,7.625189324,65.19067169
1691,57.19534057,5.176498779,2.931347193,1.200519904,0,3.436102141,7.625451264,65.19295924
1692,57.19640879,5.176564683,2.931434783,1.20052393,0,3.436154578,7.625647719,65.19467489
1693,57.20493,5.177568235,2.931785143,1.20054003,0,3.436364324,7.626433538,65.20153752
1694,57.21051005,5.178059525,2.932135503,1.200556131,0,3.436574071,7.627219358,65.20840015
1695,57.28418491,5.186966675,2.934996779,1.200687625,0,3.438287005,7.633636883,65.26444494
1696,57.32975531,5.190978889,2.937858054,1.200819125,0,3.439999938,7.640054408,65.32048974
1697,57.2993129,5.185596648,2.937916447,1.200821809,0,3.440034896,7.640185378,65.32163351
1698,57.29865931,5.185482813,2.937916447,1.200821809,0,3.440034896,7.640185378,65.32163351
1699,57.29945111,5.185580672,2.937945644,1.200823151,0,3.440052375,7.640250863,65.32220539
1700,57.29912431,5.185523754,2.937945644,1.200823151,0,3.440052375,7.640250863,65.32220539
1701,57.29991611,5.185621612,2.93797484,1.200824493,0,3.440069854,7.640316348,65.32277727
1702,57.30038111,5.185662553,2.938004037,1.200825835,0,3.440087333,7.640381832,65.32334916
1703,57.30084612,5.185703494,2.938033234,1.200827176,0,3.440104812,7.640447317,65.32392105
1704,57.30368653,5.186038012,2.938150021,1.200832544,0,3.440174728,7.640709258,65.32620859
1705,57.30317115,5.185908199,2.938179217,1.200833886,0,3.440192207,7.640774743,65.32678048
1706,58.84527088,5.37648184,2.99505436,1.203449218,0,3.47424113,7.76833943,66.44081374
1707,59.78197912,5.460055542,3.053068173,1.206119678,0,3.508971732,7.898458032,67.57715056
1708,60.7352389,5.545033174,3.112162264,1.208842737,0,3.544349054,8.030999577,68.73464714
1709,61.24487619,5.574571646,3.155344162,1.210834394,0,3.570200367,8.127851822,69.58046603
1710,63.41882602,5.818826266,3.253328237,1.215359407,0,3.628859602,8.347619324,71.49971431
1711,65.06093524,5.966334386,3.354319571,1.220031639,0,3.689319164,8.574131775,73.47786681
1712,66.8800033,6.134022265,3.463077224,1.22507264,0,3.754428118,8.818063224,75.6081409
1713,65.88755959,5.949798516,3.471369082,1.225457377,0,3.759392129,8.836660951,75.77055643
1714,66.01962076,5.961429459,3.479660941,1.22584217,0,3.764356141,8.855258678,75.93297196
1715,66.13505413,5.971005141,3.487339669,1.226198562,0,3.768953095,8.87248122,76.08337788
1716,66.52735404,6.015150691,3.504974467,1.227017229,0,3.779510359,8.912034132,76.42879683
1717,66.37193469,5.985959508,3.506521891,1.227089078,0,3.780436742,8.915504835,76.45910677
1718,66.51059911,6.002223796,3.512273638,1.227356157,0,3.783880087,8.928405369,76.57176824
1719,66.62754252,6.013423864,3.518959679,1.227666653,0,3.787882759,8.943401424,76.70273006
1720,66.58675365,6.004598196,3.520215137,1.22772496,0,3.788634352,8.946217277,76.72732114
1721,67.93143035,6.170101916,3.570316648,1.230052884,0,3.818628168,9.058589456,77.70867694
1722,68.81014103,6.250367309,3.623396222,1.232521454,0,3.850404833,9.177641101,78.74836507
1723,68.10992477,6.133775175,3.619483866,1.232339422,0,3.848062659,9.168866117,78.67173239
1724,69.59162436,6.319145172,3.672505047,1.23480744,0,3.879804366,9.287786792,79.71027676
1725,68.99974651,6.215977944,3.67256344,1.234810159,0,3.879839324,9.287917761,79.71142053
1726,70.05852141,6.34682382,3.711628605,1.23663005,0,3.903226111,9.375536627,80.47660354
1727,70.07180266,6.326360136,3.728241519,1.237404364,0,3.913171612,9.412797566,80.80200648
1728,69.90010817,6.295735633,3.728767059,1.237428863,0,3.913486233,9.413976296,80.81230043
1729,70.4532367,6.363813226,3.749379918,1.238389938,0,3.925826346,9.460208672,81.2160517
1730,70.74748219,6.38852283,3.768737321,1.239292799,0,3.937414866,9.503625195,81.59521189
1731,71.05973893,6.416169612,3.788240707,1.240202783,0,3.94909078,9.547369144,81.97723152
1732,71.37194527,6.443727882,3.807802486,1.241115809,0,3.960801653,9.591244062,82.36039491
1733,71.68745704,6.471662036,3.827510248,1.24203597,0,3.972599919,9.635446406,82.74641773
1734,72.00291841,6.499507684,3.847276404,1.242959181,0,3.984433144,9.679779719,83.13358433
1735,74.92964841,6.850126623,3.963354082,1.248387327,0,4.053924311,9.940129181,85.40723832
1736,76.77837192,7.013000725,4.079431761,1.253826659,0,4.123415478,10.20047864,87.68089232
1737,78.62709543,7.175886012,4.195509439,1.259277177,0,4.192906645,10.46082811,89.9545463
1738,80.47581895,7.338782485,4.311587118,1.26473888,0,4.262397813,10.72117757,92.2282003
1739,82.32454246,7.501690146,4.427664796,1.27021177,0,4.331888979,10.98152703,94.5018543
1740,84.17326597,7.664608991,4.543742475,1.275695846,0,4.401380146,11.24187649,96.77550829
1741,86.02198948,7.827539022,4.659820153,1.281191108,0,4.470871314,11.50222596,99.04916229
1742,88.17103145,8.027613683,4.786971717,1.287223458,0,4.546991983,11.78741292,101.5397243
1743,90.52788861,8.247136629,4.926356692,1.29385161,0,4.630436317,12.10003809,104.2699065
1744,90.8807537,8.211956074,4.996895883,1.297212096,0,4.672665373,12.25824974,105.6515822
1745,92.62022411,8.387166776,5.090150096,1.301661066,0,4.728493024,12.46740868,107.4781851
1746,93.17666577,8.403250654,5.149156596,1.304479875,0,4.763817908,12.59975377,108.633966
1747,94.79184455,8.569623034,5.23306787,1.308493393,0,4.814052306,12.78795752,110.2775654
1748,96.12905818,8.687548172,5.31700834,1.312514156,0,4.864304183,12.97622676,111.9217366
1749,95.59729685,8.574336233,5.332044633,1.313235015,0,4.873305824,13.00995151,112.2162578
1750,96.1519104,8.634421978,5.358701206,1.314513426,0,4.889264072,13.06973927,112.7383894
1751,98.66126875,8.929676194,5.462232652,1.31948424,0,4.9512443,13.30194891,114.7662959
1752,98.644226,8.869046725,5.504334272,1.321508194,0,4.976448894,13.39637822,115.5909551
1753,99.13423152,8.905847841,5.539779047,1.323213273,0,4.997668295,13.47587695,116.2852243
1754,99.62590091,8.946618389,5.572537729,1.324790065,0,5.017279636,13.54935107,116.92688
1755,100.5411602,9.041294391,5.619807162,1.327066881,0,5.045577998,13.6553712,117.8527628
1756,101.130891,9.087511477,5.661062078,1.329055513,0,5.070275703,13.74790144,118.6608373
1757,103.9606412,9.414166513,5.782432699,1.334914197,0,5.142935547,14.02012239,121.038166
1758,103.7740146,9.322492673,5.825643793,1.337002993,0,5.16880434,14.11704012,121.8845568
1759,106.1701334,9.594426315,5.931832137,1.342142653,0,5.232375149,14.35520889,123.9645049
1760,106.9832471,9.634988862,6.005641355,1.345720634,0,5.276561843,14.52075486,125.4102319
1761,107.6100601,9.670809089,6.059217272,1.348320617,0,5.30863565,14.64091975,126.4596421
1762,109.2733541,9.846264616,6.142661398,1.352374819,0,5.358590386,14.82807574,128.0940913
1763,111.5311173,10.07838138,6.260353239,1.358102799,0,5.429047887,15.09204558,130.3993624
1764,112.3572056,10.11406989,6.339388668,1.361955854,0,5.476363306,15.26931335,131.9474569
1765,111.971403,10.02169623,6.357782576,1.362853319,0,5.487375022,15.31056887,132.3077448
1766,112.8487041,10.11982301,6.397723642,1.364803067,0,5.511286175,15.40015229,133.0900844
1767,114.0873896,10.25048108,6.459883387,1.367840068,0,5.548498783,15.53956975,134.307629
1768,117.7885068,10.6731984,6.622012577,1.375776473,0,5.645559191,15.9032077,137.4833101
1769,120.5472461,10.92289387,6.790652633,1.384054745,0,5.746517397,16.28144878,140.7865216
1770,123.3471291,11.17402597,6.963497008,1.392563902,0,5.849992567,16.6691197,144.1720848
1771,126.2171398,11.43148488,7.140662493,1.401311527,0,5.956054615,17.0664824,147.642287
1772,129.156763,11.69514281,7.322178284,1.410300976,0,6.064721022,17.47360235,151.1977001
1773,132.1704226,11.96553261,7.508219561,1.41954293,0,6.17609666,17.89087247,154.8417556
1774,135.2585333,12.2426088,7.698873917,1.42904386,0,6.290233968,18.31848921,158.5761689
1775,138.632317,12.55246122,7.901966059,1.439197799,0,6.411817291,18.77400254,162.5542056
1776,139.3378762,12.525143,8.011803989,1.444703601,0,6.477572965,19.02035693,164.7056394
1777,140.2352449,12.57419969,8.090226287,1.448640773,0,6.524521327,19.19624952,166.2417244
1778,141.0495477,12.63071114,8.1526196,1.45177686,0,6.561873766,19.33619086,167.463844
1779,142.0440532,12.71857176,8.215042116,1.45491765,0,6.599243683,19.47619769,168.6865355
1780,143.3794979,12.84861174,8.290048398,1.458695871,0,6.644147013,19.64442854,170.1557098
1781,144.3721844,12.92913721,8.35760953,1.462103062,0,6.684593219,19.79596072,171.4790532
1782,145.2415442,12.99860467,8.417550325,1.465129123,0,6.720477429,19.93040133,172.6531345
1783,146.3616838,13.10341129,8.483593226,1.468466697,0,6.760014732,20.07852829,173.9467399
1784,147.4752835,13.20396929,8.551913469,1.47192317,0,6.800915391,20.23176308,175.2849523
1785,148.770053,13.32566873,8.627854049,1.475769721,0,6.846378045,20.40208944,176.7724269
1786,149.6366793,13.390084,8.691152462,1.478979578,0,6.88427233,20.54406082,178.0122751
1787,150.9710299,13.51952409,8.766479907,1.48280376,0,6.929367928,20.713012,179.4877401
1788,151.2482934,13.51134681,8.807793219,1.484903132,0,6.954100591,20.8056732,180.2969582
1789,153.7392914,13.79635736,8.916696852,1.490443955,0,7.019296938,21.04993208,182.4300918
1790,154.6439502,13.84690232,8.995002362,1.494434085,0,7.066175386,21.22556272,183.9638891
1791,155.9211797,13.96082666,9.074417348,1.498485949,0,7.113718031,21.4036818,185.5194182
1792,157.2604201,14.08180626,9.156576821,1.50268335,0,7.162903694,21.58795646,187.1287044
1793,158.5420205,14.19410878,9.237743606,1.50683554,0,7.211495075,21.77000462,188.7185465
1794,159.6399491,14.28424066,9.311728002,1.51062507,0,7.255786641,21.93594349,190.1677048
1795,145.4193417,12.48231272,8.817895268,1.485416692,0,6.960148294,20.828331,180.4948307
1796,147.4580974,13.01323522,8.689254674,1.478883293,0,6.883136201,20.53980429,177.9751024
1797,145.6444538,12.86134647,8.569285496,1.472802678,0,6.811315344,20.27072662,175.6252242
1798,148.6793352,13.30464015,8.631678814,1.47596358,0,6.848667782,20.41066797,176.8473439
1799,149.831409,13.4120273,8.699911468,1.479424008,0,6.889516004,20.5637063,178.1838407
1800,150.63941,13.47353868,8.757866886,1.48236626,0,6.924211648,20.69369393,179.3190337
1801,151.812652,13.58605644,8.82504846,1.485780391,0,6.964430628,20.84437481,180.6349427
1802,152.8691659,13.67892583,8.891733689,1.489173004,0,7.004352468,20.99394244,181.9411295
1803,154.134728,13.79795379,8.965922466,1.492951698,0,7.048766387,21.16033971,183.394291
1804,161.8795341,14.71476143,9.282122564,1.509108114,0,7.238063023,21.86954174,189.5878127
1805,167.2172046,15.19720509,9.609446602,1.52592035,0,7.434019126,22.60369356,195.9992229
1806,172.7439186,15.69687133,9.94833253,1.543420151,0,7.636896878,23.3637774,202.6370997
1807,171.2786902,15.32443269,10.03417078,1.547867903,0,7.688284885,23.55630316,204.3184436
1808,179.9944988,16.35518288,10.39098347,1.566421895,0,7.901894689,24.35659478,211.3074583
1809,178.0989955,15.91939612,10.46835469,1.570459084,0,7.948213809,24.5301299,212.8229552
1810,179.5299983,16.05298483,10.55305427,1.574884362,0,7.998920139,24.72010174,214.4819956
1811,180.8789752,16.1722931,10.63775385,1.579315596,0,8.049626467,24.91007359,216.1410359
1812,182.2041982,16.2886659,10.72157754,1.583706869,0,8.099808429,25.09808089,217.7829196
1813,164.8962923,14.09836965,10.11796527,1.552215657,0,7.738449366,23.74424498,205.9597554
1814,157.948788,13.57854055,9.612658237,1.526085749,0,7.435941807,22.61089689,196.0621302
1815,171.1995919,15.50386667,9.89271284,1.540541454,0,7.603599548,23.23902856,201.5476575
1816,175.756511,15.91018239,10.17632944,1.55524738,0,7.773389714,23.87514939,207.1029548
1817,177.3169795,15.94353978,10.35092562,1.56433365,0,7.87791362,24.26674941,210.5228311
1818,183.8049121,16.64849844,10.66222068,1.580596737,0,8.064273796,24.96494998,216.6202761
1819,190.6908192,17.32581062,11.04460967,1.600684114,0,8.293195131,25.82260641,224.1102626
1820,188.2010325,16.80206148,11.11062337,1.604164184,0,8.332714955,25.97066789,225.4032961
1821,188.4962377,16.8014331,11.14875424,1.606175992,0,8.355542416,26.05619124,226.1501787
1822,189.4796382,16.90174061,11.20075354,1.608921453,0,8.386672362,26.17281994,227.1687071
1823,191.0964433,17.07268292,11.28183273,1.613206754,0,8.435211304,26.35467165,228.7568335
1824,189.7376049,16.85872704,11.26519062,1.612326719,0,8.425248323,26.31734522,228.4308587
1825,191.2263897,17.0524812,11.31321917,1.614867095,0,8.454001136,26.42506797,229.3716106
1826,191.0134484,16.99905664,11.32518981,1.615500557,0,8.461167493,26.4519168,229.6060837
1827,193.6333428,17.31678501,11.42673588,1.620878952,0,8.521959155,26.67967347,231.5951021
1828,194.7858405,17.40233239,11.51114349,1.625356123,0,8.572490693,26.86899047,233.2484236
1829,197.0787438,17.63878343,11.63052874,1.631698686,0,8.643961972,27.13675844,235.586864
1830,197.6142905,17.63788456,11.69954971,1.63537095,0,8.685282123,27.29156487,236.9388017
1831,198.1450478,17.66475687,11.74760745,1.637930202,0,8.714052416,27.3993531,237.8801255
1832,198.5232544,17.68454026,11.78138801,1.639730288,0,8.73427552,27.4751192,238.5417973
1833,199.5323852,17.79051169,11.8325406,1.642457892,0,8.764898577,27.58984884,239.5437409
1834,200.360533,17.86428641,11.88418954,1.645214166,0,8.795818775,27.70569171,240.5554066
1835,201.3509868,17.95788807,11.94202818,1.648303386,0,8.830444502,27.8354174,241.6883121
1836,202.078169,18.01539669,11.99271362,1.65101283,0,8.860787897,27.94909929,242.6811057
1837,203.2686474,18.13432296,12.05753026,1.654480778,0,8.899591086,28.09447588,243.9506918
1838,204.23207,18.21717134,12.11980679,1.657816107,0,8.936873609,28.23415529,245.170524
1839,204.9507527,18.27113621,12.17201047,1.660614448,0,8.968125907,28.35124238,246.1930556
1840,205.9365811,18.36386642,12.22990749,1.663720622,0,9.002786593,28.48109904,247.3271048
1841,207.428854,18.46443394,12.29122053,1.667013098,0,9.094482188,28.65298611,248.7823928
1842,208.0744358,18.46731771,12.327658,1.668971249,0,9.171285751,28.76908001,249.7504343
1843,208.9382708,18.51124201,12.36187651,1.670811157,0,9.246760916,28.88019704,250.6750125
1844,210.6409129,18.66032809,12.42610922,1.674267533,0,9.340204404,29.05863261,252.1874891
1845,211.8587502,18.73246495,12.48485295,1.677431545,0,9.430361857,29.22475701,253.5924513
1846,212.9361163,18.79029187,12.53615152,1.680196896,0,9.516062186,29.37418276,254.8515826
1847,214.3034751,18.8882373,12.59507043,1.68337573,0,9.606324512,29.54070006,256.259976
1848,215.4382653,18.95308448,12.64855876,1.686264065,0,9.69333576,29.69503717,257.5619988
1849,216.3931324,18.99869974,12.6931713,1.688674931,0,9.775033419,29.82946685,258.6901682
1850,217.4663486,19.06397402,12.73848455,1.691125355,0,9.857150571,29.96546817,259.832063
1851,218.8809056,19.17114508,12.79667355,1.694274565,0,9.946975926,30.13034836,261.2261593
1852,219.6461771,19.19063092,12.83623505,1.696417253,0,10.02564973,30.25344914,262.2553925
1853,215.6799038,18.63440074,12.69363844,1.688700184,0,9.995272592,29.96798931,259.7166312
1854,216.7692686,18.80703391,12.6622812,1.687005452,0,10.03149012,29.93202713,259.3567541
1855,214.8288236,18.54170874,12.56511463,1.681759174,0,10.02831017,29.74846189,257.7078468
1856,212.7183655,18.29237194,12.43451786,1.674720258,0,10.00511687,29.48991636,255.4041304
1857,213.072441,18.36716972,12.38100034,1.671839856,0,10.0280679,29.40425112,254.6101922
1858,212.992139,18.34477143,12.34327822,1.669811018,0,10.06047502,29.35401323,254.1256441
1859,213.7818002,18.42125202,12.34415412,1.669858113,0,10.11598926,29.39034646,254.3971289
1860,210.2944559,17.9461852,12.20325092,1.662290152,0,10.0866259,29.10868475,251.8915368
1861,207.9704197,17.69505564,12.04672749,1.653902545,0,10.04791133,28.79198859,249.079986
1862,205.5266697,17.43791332,11.87934289,1.644955428,0,10.00269459,28.45093203,246.0556937
1863,200.5194939,16.86941099,11.61295234,1.630764165,0,9.89820686,27.887816,241.0921371
1864,195.3243063,16.33344854,11.29876681,1.614102464,0,9.765106148,27.2175011,235.1924037
1865,185.5775601,15.26085858,10.79702177,1.587664155,0,9.519720891,26.12651085,225.6188768
1866,184.2289206,15.33402731,10.52753637,1.573550508,0,9.413380396,25.55645341,220.5947003
1867,186.9919168,15.78545576,10.50552207,1.572400226,0,9.455191173,25.54144643,220.4178267
1868,186.9715298,15.75278144,10.48301142,1.571224425,0,9.496704809,25.52532621,220.2312311
1869,187.3035068,15.76401728,10.47328893,1.570716719,0,9.545874209,25.53788839,220.2951213
1870,186.9808443,15.68698859,10.44470537,1.569224548,0,9.583752231,25.5081473,219.9895734
1871,187.7648179,15.75761348,10.44914327,1.569456179,0,9.641398902,25.55246968,220.3308282
1872,188.3597157,15.78621758,10.46023801,1.570035327,0,9.70303077,25.61172264,220.802473
1873,189.1976159,15.84115921,10.48304062,1.57122595,0,9.771671677,25.69723507,221.5034439
1874,189.7880762,15.85886495,10.50155132,1.572192791,0,9.837743187,25.7731212,222.1203476
1875,191.363275,16.00092294,10.5546017,1.574965266,0,9.924492253,25.92647603,223.413792
1876,192.0316616,16.01123404,10.58846985,1.576736477,0,9.999757669,26.03680725,224.3315076
1877,193.0913245,16.08080527,10.62884886,1.578849433,0,10.07892088,26.16174161,225.3767536
1878,193.5666091,16.07434738,10.65036682,1.579975979,0,10.14679272,26.24437269,226.0525615
1879,194.8064721,16.17319346,10.69229326,1.58217209,0,10.22688232,26.37277777,227.1281176
1880,195.3198625,16.17058337,10.71585499,1.583406896,0,10.29597768,26.45999279,227.8439575
1881,196.5075532,16.26181968,10.75670115,1.585548624,0,10.37542056,26.58597491,228.8983536
1882,195.9514362,16.1273825,10.7403802,1.584692685,0,10.42063972,26.5837375,228.8329978
1883,196.8729101,16.2081257,10.75494935,1.585456742,0,10.48435158,26.65078316,229.3726969
1884,198.5785326,16.3685662,10.81118217,1.588407439,0,10.57300585,26.81127586,230.7284769
1885,199.7608077,16.44072773,10.86531282,1.591250309,0,10.66040163,26.96705364,232.0430811
1886,201.0489592,16.52718725,10.92247993,1.59425529,0,10.74961522,27.12964184,233.4171614
1887,201.824085,16.54840756,10.96198305,1.596333352,0,10.82825407,27.25261166,234.4452509
1888,203.3495987,16.67250665,11.02186544,1.599485936,0,10.9190932,27.42128997,235.8725165
1889,204.2416073,16.70667525,11.06679914,1.601853481,0,11.00098313,27.55643998,237.0069767
1890,205.3436926,16.7752826,11.11330947,1.604305864,0,11.08381692,27.69512619,238.1723188
1891,206.4930585,16.84885894,11.16221391,1.606886421,0,11.16808397,27.83918216,239.3845555
1892,207.6765957,16.92532058,11.2133665,1.609587731,0,11.25369691,27.98828047,240.6408273
1893,209.0155001,17.01975959,11.27117594,1.612643196,0,11.34329504,28.15230936,242.0274892
1894,210.4841794,17.12652418,11.33651812,1.616100138,0,11.43740272,28.33323335,243.5616974
1895,211.1179189,17.12564305,11.37418185,1.618094355,0,11.5149404,28.45207762,244.5537582
