"时间","出口消费品","进入废水处理系统废水磷量","进入内陆水体废水磷量","固废磷量","饲料用于水产养殖磷量 ","饲料用于畜禽养殖磷磷量 平衡N8","磷副产品还田量","居民消费食物磷含量","非食品消费磷量"
"1600","0.014573513766000001","0","0.02426258664367","-0.024121827953269996","0","0","0.0445847109","0.7521320968355218","0"
"1601","0.014480093806079999","0","0.024107082002124","-0.023966323311724","0","0","0.0445847109","0.7490693845430353","0"
"1602","0.01438667384616","0","0.023951577359468002","-0.023810818669068","0","0","0.0445847109","0.7460066722617178","0"
"1603","0.014293253886240002","0","0.023796072721312","-0.023655314030912","0","0","0.0445847109","0.742943959845959","0"
"1604","0.01419983392632","0","0.023640568079766","-0.023499809389365998","0","0","0.0445847109","0.7398812475534724","0"
"1605","0.014106413966399998","0","0.02348506343811","-0.023344304747709998","0","0","0.0445847109","0.7368185352721548","0"
"1606","0.014012994006480001","0","0.023329558796454","-0.023188800106053998","0","0","0.0445847109","0.733755822845227","0"
"1607","0.01391957404656","0","0.023174054158408","-0.023033295468008","0","0","0.0445847109","0.7306931105639094","0"
"1608","0.013826154086640001","0","0.023018549516752","-0.022877790826352","0","0","0.0445847109","0.7276303981366135","0"
"1609","0.013732734126719999","0","0.022863044875205997","-0.022722286184805995","0","0","0.0445847109","0.724567685855664","0"
"1610","0.01363931416512","0","0.022707540236976","-0.022566781546575997","0","0","0.0445847109","0.7215049735760263","0"
"1611","0.0135458942052","0","0.02255203559432","-0.02241127690392","0","0","0.0445847109","0.7184422611375615","0"
"1612","0.013452474245279998","0","0.022396530952774003","-0.022255772262374","0","0","0.0445847109","0.7153795488677809","0"
"1613","0.013359054285359998","0","0.022241026311118","-0.022100267620717998","0","0","0.0445847109","0.7123168365864633","0"
"1614","0.01326563432544","0","0.022085521672962006","-0.021944762982562004","0","0","0.0445847109","0.7092541241479985","0"
"1615","0.013172214365520001","0","0.021930017031415998","-0.021789258341015996","0","0","0.0445847109","0.7061914118666809","0"
"1616","0.013078794405600001","0","0.02177451238976","-0.02163375369936","0","0","0.0445847109","0.7031286995857313","0"
"1617","0.01298537444568","0","0.021619007751714","-0.021478249061313997","0","0","0.0445847109","0.7000659871584356","0"
"1618","0.01289195448576","0","0.021463503110058003","-0.021322744419658","0","0","0.0445847109","0.6970032748771179","0"
"1619","0.01279853452584","0","0.021307998468402","-0.021167239778001997","0","0","0.0445847109","0.6939405625961683","0"
"1620","0.01270511456592","0","0.021152493825856003","-0.021011735135456","0","0","0.0445847109","0.6908778501688726","0"
"1621","0.012611694605999998","0","0.020996989187700002","-0.0208562304973","0","0","0.0445847109","0.687815137887555","0"
"1622","0.012518274646080001","0","0.020841484546044","-0.020700725855643996","0","0","0.0445847109","0.6847524256066052","0"
"1623","0.012424854686160001","0","0.020685979904497998","-0.020545221214097995","0","0","0.0445847109","0.6816897131793096","0"
"1624","0.01233143472456","0","0.020530475266268004","-0.020389716575868","0","0","0.0445847109","0.6786270008885029","0"
"1625","0.01223801476464","0","0.020374970624612","-0.020234211934211998","0","0","0.0445847109","0.6755642884727442","0"
"1626","0.01214459480472","0","0.020219465983066003","-0.020078707292666","0","0","0.0445847109","0.6725015761914264","0"
"1627","0.012074678372400002","0","0.020103084755150002","-0.01996232606475","0","0","0.0445847109","0.6702094116489625","0"
"1628","0.012004761940080001","0","0.019986703526234002","-0.019845944835834","0","0","0.0445847109","0.6679172471061305","0"
"1629","0.01193484550776","0","0.019870322298428004","-0.019729563608028","0","0","0.0445847109","0.6656250825748355","0"
"1630","0.011864929075440001","0","0.019753941070512","-0.019613182380111997","0","0","0.0445847109","0.6633329180435406","0"
"1631","0.01179501264312","0","0.019637559842596002","-0.019496801152196","0","0","0.0445847109","0.6610407535007086","0"
"1632","0.0117250962108","0","0.019521178613680003","-0.01938041992328","0","0","0.0445847109","0.6587485889694136","0"
"1633","0.01165517977848","0","0.019404797385874","-0.019264038695474","0","0","0.0445847109","0.6564564244381185","0"
"1634","0.011585263346159998","0","0.019288416157958007","-0.019147657467558005","0","0","0.0445847109","0.6541642598952865","0"
"1635","0.011515346913840001","0","0.019172034930042","-0.019031276239641997","0","0","0.0445847109","0.6518720953528225","0"
"1636","0.011445430481519999","0","0.019055653701236002","-0.018914895010836","0","0","0.0445847109","0.6495799308215275","0"
"1637","0.011375514049200001","0","0.01893927247332","-0.01879851378292","0","0","0.0445847109","0.6472877662786954","0"
"1638","0.011305597616879997","0","0.018822891245404004","-0.018682132555004","0","0","0.0445847109","0.6449956017474006","0"
"1639","0.011235681186240002","0","0.018706510017562","-0.018565751327161997","0","0","0.0445847109","0.6427034372144254","0"
"1640","0.011165764753920001","0","0.018590128788756","-0.018449370098355997","0","0","0.0445847109","0.6404112726715935","0"
"1641","0.011095848321600002","0","0.01847374756084","-0.01833298887044","0","0","0.0445847109","0.6381191081402986","0"
"1642","0.011025931889280001","0","0.018357366332924","-0.018216607642524","0","0","0.0445847109","0.6358269435974664","0"
"1643","0.01095601545696","0","0.018240985105008","-0.018100226414607998","0","0","0.0445847109","0.6335347790661714","0"
"1644","0.01088609902464","0","0.018124603876202003","-0.017983845185802","0","0","0.0445847109","0.6312426145237076","0"
"1645","0.01081618259232","0","0.018008222648286002","-0.017867463957886","0","0","0.0445847109","0.6289504499808756","0"
"1646","0.01074626616","0","0.01789184142037","-0.01775108272997","0","0","0.0445847109","0.6266582854495806","0"
"1647","0.01076806165848","0","0.017928121691384004","-0.017787363000984","0","0","0.0445847109","0.6273728366839814","0"
"1648","0.01078985715864","0","0.017964401957972","-0.017823643267572","0","0","0.0445847109","0.6280873879167022","0"
"1649","0.01081165265712","0","0.018000682229096003","-0.017859923538696","0","0","0.0445847109","0.6288019390051247","0"
"1650","0.01083344815728","0","0.018034908952204002","-0.017911946846284003","0","0","0.020881882499999997","0.4836627544774322","0"
"1651","0.01085524365744","0","0.018071189222292","-0.017948227116372","0","0","0.020881882499999997","0.4843773057101529","0"
"1652","0.01087703915592","0","0.018107469493305998","-0.017984507387386","0","0","0.020881882499999997","0.48509185694455376","0"
"1653","0.01089883465608","0","0.018143749760894005","-0.018020787654974006","0","0","0.020881882499999997","0.4858064081772746","0"
"1654","0.010920630154559997","0","0.018180030030908","-0.018057067924988002","0","0","0.020881882499999997","0.48652095926569716","0"
"1655","0.01094242565472","0","0.018216310301996","-0.018093348196076","0","0","0.020881882499999997","0.48723551050958697","0"
"1656","0.010964221154880001","0","0.018252590569584","-0.018129628463664","0","0","0.020881882499999997","0.48795006174230776","0"
"1657","0.010986016653360001","0","0.018288870839708003","-0.018165908733788004","0","0","0.020881882499999997","0.48866461297670855","0"
"1658","0.01100781215352","0","0.018325151107295993","-0.018202189001375994","0","0","0.020881882499999997","0.4893791642094294","0"
"1659","0.011029607652000001","0","0.018361431377309997","-0.018238469271389997","0","0","0.020881882499999997","0.490093715297852","0"
"1660","0.011051403152160001","0","0.018397711648398003","-0.018274749542478003","0","0","0.020881882499999997","0.4908082665305728","0"
"1661","0.01107319865232","0","0.018433991915986","-0.018311029810066","0","0","0.020881882499999997","0.49152281776329365","0"
"1662","0.011147645018159999","0","0.018557913563018","-0.018434951457098","0","0","0.020881882499999997","0.4939634932720193","0"
"1663","0.01121820511392","0","0.018675366221166","-0.018552404115246002","0","0","0.020881882499999997","0.49627675982817976","0"
"1664","0.011251724195040001","0","0.018731161283312","-0.018608199177392","0","0","0.020881882499999997","0.4973756610143795","0"
"1665","0.01128123556056","0","0.018780285202528002","-0.018657323096608003","0","0","0.020881882499999997","0.49834317183394433","0"
"1666","0.01132944960168","0","0.018860541146314","-0.018737579040394","0","0","0.020881882499999997","0.4999238377228918","0"
"1667","0.01135883952168","0","0.018909462904374","-0.018786500798454002","0","0","0.020881882499999997","0.5008873669708718","0"
"1668","0.011383493049600001","0","0.018950500580859998","-0.01882753847494","0","0","0.020881882499999997","0.5016956167872464","0"
"1669","0.01142029117152","0","0.019011753857976006","-0.018888791752056006","0","0","0.020881882499999997","0.5029020191732326","0"
"1670","0.011448345185760002","0","0.019058451903368","-0.018935489797448","0","0","0.020881882499999997","0.5038217517151984","0"
"1671","0.01147846378056","0","0.019108586599108","-0.018985624493188","0","0","0.020881882499999997","0.5048091701758071","0"
"1672","0.01151611202448","0","0.019171254969024","-0.019048292863104","0","0","0.020881882499999997","0.5060434431641054","0"
"1673","0.01155582484896","0","0.019237359990177998","-0.019114397884258","0","0","0.020881882499999997","0.5073454022058558","0"
"1674","0.011595537673440001","0","0.019303465013942","-0.019180502908022","0","0","0.020881882499999997","0.5086473612360691","0"
"1675","0.0116352504996","0","0.01936957003767","-0.019246607931750002","0","0","0.020881882499999997","0.5099493202761396","0"
"1676","0.011598088039440001","0","0.019307710291232003","-0.019184748185312003","0","0","0.020881882499999997","0.5087309732232269","0"
"1677","0.011560804133759997","0","0.019245648390637998","-0.019122686284718","0","0","0.020881882499999997","0.5075086447558768","0"
"1678","0.0115235202264","0","0.01918358648547","-0.01906062437955","0","0","0.020881882499999997","0.5062863162905745","0"
"1679","0.011486357766240001","0","0.019121726739032004","-0.018998764633112005","0","0","0.020881882499999997","0.5050679693836402","0"
